scope,level,category_id,recent_count,recent_total,recent_rate_pct,baseline_count,baseline_total,baseline_rate_pct,pp_delta,ratio,verdict,flagged_spike,flagged_decline,emerging
google_play,parent,ai_coach,29,213,13.615,49,781,6.274,7.341,2.17,spike,True,False,False
google_play,parent,app_stability,16,213,7.512,109,781,13.956,-6.445,0.54,decline,False,True,False
google_play,parent,customer_support,18,213,8.451,78,781,9.987,-1.536,0.85,stable,False,False,False
google_play,parent,data_accuracy,28,213,13.146,88,781,11.268,1.878,1.17,stable,False,False,False
google_play,parent,feature_requests,34,213,15.962,58,781,7.426,8.536,2.15,spike,True,False,False
google_play,parent,hardware_wearability,7,213,3.286,43,781,5.506,-2.219,0.6,decline,False,True,False
google_play,parent,health_signal_reliability,1,213,0.469,12,781,1.536,-1.067,0.31,insufficient_recent_occurrences,False,False,False
google_play,parent,localization,3,213,1.408,5,781,0.64,0.768,2.2,insufficient_recent_occurrences,False,False,False
google_play,parent,platform_parity,8,213,3.756,26,781,3.329,0.427,1.13,stable,False,False,False
google_play,parent,pricing_billing,58,213,27.23,189,781,24.2,3.03,1.13,stable,False,False,False
google_play,parent,sleep_tracking,25,213,11.737,93,781,11.908,-0.171,0.99,stable,False,False,False
google_play,parent,sync_connectivity,14,213,6.573,81,781,10.371,-3.799,0.63,decline,False,True,False
google_play,parent,ui_ux,36,213,16.901,126,781,16.133,0.768,1.05,stable,False,False,False
google_play,subcategory,activity_detection,11,213,5.164,28,781,3.585,1.579,1.44,stable,False,False,False
google_play,subcategory,ai_autonomy,7,213,3.286,8,781,1.024,2.262,3.21,spike,True,False,False
google_play,subcategory,ai_only_support_channel,4,213,1.878,19,781,2.433,-0.555,0.77,insufficient_recent_occurrences,False,False,False
google_play,subcategory,ai_positive_reception,10,213,4.695,20,781,2.561,2.134,1.83,spike,True,False,False
google_play,subcategory,ai_reliability_bugs,15,213,7.042,21,781,2.689,4.353,2.62,spike,True,False,False
google_play,subcategory,android_feature_gaps,4,213,1.878,5,781,0.64,1.238,2.93,insufficient_recent_occurrences,False,False,False
google_play,subcategory,android_specific_bugs,4,213,1.878,24,781,3.073,-1.195,0.61,insufficient_recent_occurrences,False,False,False
google_play,subcategory,battery_life,2,213,0.939,15,781,1.921,-0.982,0.49,insufficient_recent_occurrences,False,False,False
google_play,subcategory,billing_disputes,14,213,6.573,62,781,7.939,-1.366,0.83,stable,False,False,False
google_play,subcategory,build_quality_perception,0,213,0.0,16,781,2.049,-2.049,0.0,insufficient_recent_occurrences,False,False,False
google_play,subcategory,cardiac_detection_trust,0,213,0.0,1,781,0.128,-0.128,0.0,insufficient_recent_occurrences,False,False,False
