period,period_type,period_start,period_end,source,category_id,tag_count,total_reviews,rate_pct,adequate_volume,is_current_partial,in_recent_window,scope,rolling_baseline_rate_pct,flagged_spike,flagged_decline,verdict
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,ai_coach,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,app_stability,3,38,7.895,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,customer_support,2,38,5.263,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,data_accuracy,1,38,2.632,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,feature_requests,3,38,7.895,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,hardware_wearability,1,38,2.632,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,health_signal_reliability,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,localization,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,platform_parity,27,38,71.053,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,pricing_billing,6,38,15.789,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,sleep_tracking,2,38,5.263,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,sync_connectivity,3,38,7.895,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,ui_ux,1,38,2.632,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,activity_detection,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,ai_autonomy,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,ai_only_support_channel,0,38,0.0,True,False,False,google_play,,False,False,
2017-08_to_2019-02,multi_month,2017-08,2019-02,google_play,ai_positive_reception,0,38,0.0,True,False,False,google_play,,False,False,
