sample_id,source,rating,date,tags,tag_count,text
1,google_play,5,2025-10-29T06:37:30,DA.accuracy,1,"Among the extensive features, accuracy of data, detailed data/narratives, personalized response/answers to your questions and so much more makes the Whoop band an outstanding product. The greatest benefit I have found is the behavioral changes that follow toward informed and healthy living....choices! I note the Whoop keeps delivering on updates and improvement while at the same time not increasing costs."
2,google_play,3,2025-05-31T06:07:17,SY.disconnect,1,loses connection hard to pair after it loses connection.
3,app_store,4,2026-03-09T19:12:47-07:00,ST.ui;PB.value,2,Doesn’t always work properly. Every couple of weeks I cannot find my alarm or tonight’s sleep which is rather irritating. Why am I even paying for this??
4,google_play,4,2023-08-06T05:35:33,PB.value,1,"If you want to pay for something and not receive what you pay for, install this app and buy a membership."
5,app_store,3,2026-06-19T02:12:14-07:00,AI.bugs;DA.accuracy;DA.activitydetect;CS.resolution,4,"I have worn a Whoop almost everyday for 9 years and it has guided my training. Sadly, the experience has gotten much worse. The AI is glitchy, the data is inconstant , the auto recognition or activities has changed from 20 minutes to 10 and it is reading even when I turn it off, the customer service which used to be amazing is terrible.  I hope it gets better or I will be looking for an alternative. :-("
6,google_play,4,2025-12-11T07:41:56,PB.value,1,"pricey subscription model but worth the tracking data for one year to see what can be improved. usually it's always the basics that need work. eat healthy, sleep more consistently, get out, move and stretch daily..."
7,google_play,2,2026-07-30T19:36:29,OTHER_UNGROUPED,0,Stopped using it after few months. it gives not relevant information
8,google_play,1,2019-09-10T20:19:27,SY.onboarding;CS.responsive,2,Doesn't work out the box. Won't connect with my google pixel phone. Support said they will be in contact in 2-5 days.... Reading the other reviews i think ive made a mistake....unless i switch to ios. I was really excited to start using this expensive gadget.... What an anticlimax thus far.
9,google_play,3,2023-10-29T03:26:15,FR.metrics;DA.activitydetect,2,"App is good but missing some key tracking. For example, tracking your weight and fat percentage. This would make counting calories more accurate. I also don't understand why it uses servings, and glasses, instead of grams and millilitres in the journal. The activity tracker also stops tracking heart rate and strain sometimes and shows disabled in the heart tracker. Although this updates once you process the work out. Sometimes it detects my activity sometimes it doesn't."
10,app_store,1,2025-11-25T22:36:13-07:00,SY.datasync,1,"Sleep not detected… whoop is not on the body… lot of things ruin experience, thinking about going back to Garmin"
