sample_id,source,review_id,rating,date,text,app_version,country
1,google_play,321c8627-bd82-4cf0-9f67-8528df960a53,5,2025-10-29T06:37:30,"Among the extensive features, accuracy of data, detailed data/narratives, personalized response/answers to your questions and so much more makes the Whoop band an outstanding product. The greatest benefit I have found is the behavioral changes that follow toward informed and healthy living....choices! I note the Whoop keeps delivering on updates and improvement while at the same time not increasing costs.",5.423.3,us
2,google_play,e6d42e30-d61c-47f1-843b-9791555ce00b,3,2025-05-31T06:07:17,loses connection hard to pair after it loses connection.,,us
3,app_store,13832116794,4,2026-03-09T19:12:47-07:00,Doesn’t always work properly. Every couple of weeks I cannot find my alarm or tonight’s sleep which is rather irritating. Why am I even paying for this??,5.42.0,us
4,google_play,ea2db595-f64d-4f48-8e23-16e99dbbdebd,4,2023-08-06T05:35:33,"If you want to pay for something and not receive what you pay for, install this app and buy a membership.",4.112.0,us
5,app_store,14200570056,3,2026-06-19T02:12:14-07:00,"I have worn a Whoop almost everyday for 9 years and it has guided my training. Sadly, the experience has gotten much worse. The AI is glitchy, the data is inconstant , the auto recognition or activities has changed from 20 minutes to 10 and it is reading even when I turn it off, the customer service which used to be amazing is terrible.  I hope it gets better or I will be looking for an alternative. :-(",5.57.0,us
6,google_play,a67bc006-fab2-4573-84d6-81a8eab434c8,4,2025-12-11T07:41:56,"pricey subscription model but worth the tracking data for one year to see what can be improved. usually it's always the basics that need work. eat healthy, sleep more consistently, get out, move and stretch daily...",5.429.0,us
7,google_play,1a8d0a3b-14f7-4dec-8c02-a42e2969e073,2,2026-07-30T19:36:29,Stopped using it after few months. it gives not relevant information,5.461.1,us
8,google_play,f1677f49-857d-428d-a36f-e25d9b99a97d,1,2019-09-10T20:19:27,Doesn't work out the box. Won't connect with my google pixel phone. Support said they will be in contact in 2-5 days.... Reading the other reviews i think ive made a mistake....unless i switch to ios. I was really excited to start using this expensive gadget.... What an anticlimax thus far.,2.0.13,us
9,google_play,24f3271c-7a54-420b-9bba-0d09186ee602,3,2023-10-29T03:26:15,"App is good but missing some key tracking. For example, tracking your weight and fat percentage. This would make counting calories more accurate. I also don't understand why it uses servings, and glasses, instead of grams and millilitres in the journal. The activity tracker also stops tracking heart rate and strain sometimes and shows disabled in the heart tracker. Although this updates once you process the work out. Sometimes it detects my activity sometimes it doesn't.",4.124.0,us
10,app_store,13442060160,1,2025-11-25T22:36:13-07:00,"Sleep not detected… whoop is not on the body… lot of things ruin experience, thinking about going back to Garmin",5.30.0,us
11,google_play,3d126f0f-752b-4e7d-ac69-354275f0e3e7,3,2023-09-01T04:35:24,"Long time user. The application has become increasingly buggy; occasionally having to re-pair and very, very laggy.",4.115.0,us
12,app_store,14371115822,4,2026-07-31T08:53:04-07:00,This is one of the best health monitoring devices I have used,5.63.0,us
